[2025-06-22 22:46:47,565] 17 root - INFO - data loading started...
[2025-06-22 22:46:48,677] 20 root - INFO - data loading completed...
[2025-06-22 22:46:48,677] 31 root - INFO - Loading Gemini model...
[2025-06-22 22:46:51,882] 1025 httpx - INFO - HTTP Request: GET https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash "HTTP/1.1 200 OK"
[2025-06-22 22:46:51,882] 25 root - INFO - 
[2025-06-22 22:46:53,698] 35 root - INFO - 
[2025-06-22 22:46:56,567] 1025 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/text-embedding-004:batchEmbedContents "HTTP/1.1 200 OK"
[2025-06-22 22:46:56,949] 41 root - INFO - 
[2025-06-22 22:51:47,680] 17 root - INFO - data loading started...
[2025-06-22 22:51:47,689] 20 root - INFO - data loading completed...
[2025-06-22 22:51:47,689] 31 root - INFO - Loading Gemini model...
[2025-06-22 22:51:51,103] 1025 httpx - INFO - HTTP Request: GET https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash "HTTP/1.1 200 OK"
[2025-06-22 22:51:51,107] 25 root - INFO - 
[2025-06-22 22:51:51,974] 35 root - INFO - 
[2025-06-22 22:51:54,124] 1025 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/text-embedding-004:batchEmbedContents "HTTP/1.1 200 OK"
[2025-06-22 22:51:54,458] 41 root - INFO - 
[2025-06-22 22:51:54,903] 1025 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/text-embedding-004:batchEmbedContents "HTTP/1.1 200 OK"
[2025-06-22 22:53:00,201] 17 root - INFO - data loading started...
[2025-06-22 22:53:00,233] 20 root - INFO - data loading completed...
[2025-06-22 22:53:00,233] 31 root - INFO - Loading Gemini model...
[2025-06-22 22:53:03,607] 1025 httpx - INFO - HTTP Request: GET https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash "HTTP/1.1 200 OK"
[2025-06-22 22:53:03,614] 25 root - INFO - 
[2025-06-22 22:53:05,691] 35 root - INFO - 
[2025-06-22 22:53:07,894] 1025 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/text-embedding-004:batchEmbedContents "HTTP/1.1 200 OK"
[2025-06-22 22:53:08,266] 41 root - INFO - 
[2025-06-22 22:53:08,705] 1025 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/text-embedding-004:batchEmbedContents "HTTP/1.1 200 OK"
[2025-06-22 22:57:52,322] 17 root - INFO - data loading started...
[2025-06-22 22:57:52,322] 23 root - INFO - exception in loading data...
[2025-06-22 22:58:06,656] 17 root - INFO - data loading started...
[2025-06-22 22:58:06,661] 20 root - INFO - data loading completed...
[2025-06-22 22:58:06,661] 31 root - INFO - Loading Gemini model...
[2025-06-22 22:58:10,865] 1025 httpx - INFO - HTTP Request: GET https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash "HTTP/1.1 200 OK"
[2025-06-22 22:58:10,868] 25 root - INFO - 
[2025-06-22 22:58:12,202] 35 root - INFO - 
[2025-06-22 22:58:38,353] 1025 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/text-embedding-004:batchEmbedContents "HTTP/1.1 200 OK"
[2025-06-22 22:58:38,704] 41 root - INFO - 
[2025-06-22 22:58:40,352] 1025 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/text-embedding-004:batchEmbedContents "HTTP/1.1 200 OK"
[2025-06-22 23:04:48,094] 33 root - INFO - Data loading started from uploaded file...
[2025-06-22 23:04:48,094] 42 root - INFO - Data loading from uploaded file completed...
[2025-06-22 23:04:48,095] 31 root - INFO - Loading Gemini model...
[2025-06-22 23:04:51,436] 1025 httpx - INFO - HTTP Request: GET https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash "HTTP/1.1 200 OK"
[2025-06-22 23:04:51,447] 25 root - INFO - 
[2025-06-22 23:04:52,682] 35 root - INFO - 
[2025-06-22 23:04:54,878] 1025 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/text-embedding-004:batchEmbedContents "HTTP/1.1 200 OK"
[2025-06-22 23:04:55,157] 41 root - INFO - 
[2025-06-22 23:04:55,740] 1025 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/text-embedding-004:batchEmbedContents "HTTP/1.1 200 OK"
[2025-06-22 23:52:20,199] 33 root - INFO - Data loading started from uploaded file...
[2025-06-22 23:52:20,205] 42 root - INFO - Data loading from uploaded file completed...
[2025-06-22 23:52:20,205] 31 root - INFO - Loading Gemini model...
[2025-06-22 23:52:23,918] 1025 httpx - INFO - HTTP Request: GET https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash "HTTP/1.1 200 OK"
[2025-06-22 23:52:23,918] 25 root - INFO - 
[2025-06-22 23:52:24,723] 35 root - INFO - 
[2025-06-22 23:52:26,773] 1025 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/text-embedding-004:batchEmbedContents "HTTP/1.1 200 OK"
[2025-06-22 23:52:27,863] 41 root - INFO - 
